entrez	target gene	target probe	source probe	Score
26926	Aifm1	1418127_a_at	1418127_a_at	1.000000
14194	Fh1	1424828_a_at	1418127_a_at	0.712900
53375	Mtx2	1430500_s_at	1418127_a_at	0.673306
14375	Xrcc6	1417437_at	1418127_a_at	0.670835
12567	Cdk4	1422439_a_at	1418127_a_at	0.664899
18041	Nfs1	1416373_at	1418127_a_at	0.658505
66671	Ccnh	1456293_s_at	1418127_a_at	0.657794
56207	Uchl5	1419452_at	1418127_a_at	0.657785
17995	Ndufv1	1415966_a_at	1418127_a_at	0.656756
230027	Coq3	1436351_at	1418127_a_at	0.653278
66592	Stoml2	1448774_at	1418127_a_at	0.649979
22596	Xrcc5	1451968_at	1418127_a_at	0.645659
68153	Gtf2e2	1448884_at	1418127_a_at	0.644963
20916	Sucla2	1452206_at	1418127_a_at	0.639619
28030	Gfm1	1416570_s_at	1418127_a_at	0.639064
106344	Rfc4	1424321_at	1418127_a_at	0.637098
67059	Ola1	1438094_x_at	1418127_a_at	0.634737
17535	Mre11a	1416748_a_at	1418127_a_at	0.632320
66368	Rtca	1424095_at	1418127_a_at	0.632143
110074	Dut	1419270_a_at	1418127_a_at	0.629564
30926	Glrx3	1417340_at	1418127_a_at	0.629322
56088	Psmg1	1448307_at	1418127_a_at	0.629306
107435	Hat1	1428061_at	1418127_a_at	0.629149
73694	Ndufaf7	1427904_s_at	1418127_a_at	0.628119
56505	Ruvbl1	1416585_at	1418127_a_at	0.625249
53893	Nudt5	1448651_at	1418127_a_at	0.624821
104721	Ddx1	1440816_x_at	1418127_a_at	0.622376
21781	Tfdp1	1423241_a_at	1418127_a_at	0.622010
67681	Mrpl18	1448373_at	1418127_a_at	0.621282
19179	Psmc1	1416005_at	1418127_a_at	0.620672
66493	Mrpl51	1416877_a_at	1418127_a_at	0.620172
26440	Psma1	1415695_at	1418127_a_at	0.619952
67054	Paics	1423565_at	1418127_a_at	0.619538
192169	Ufsp2	1418319_at	1418127_a_at	0.619153
56428	Mtch2	1430474_a_at	1418127_a_at	0.618878
110842	Etfa	1423972_at	1418127_a_at	0.617400
70699	Nup205	1454743_at	1418127_a_at	0.613367
20833	Ssrp1	1426789_s_at	1418127_a_at	0.610276
98828	Cdc123	1416763_at	1418127_a_at	0.609328
67105	Timm21	1452785_at	1418127_a_at	0.609036
68729	Trim37	1455012_s_at	1418127_a_at	0.607104
50497	Hspa14	1448586_at	1418127_a_at	0.606018
245688	Rbbp7	1415775_at	1418127_a_at	0.605950
68278	Ddx39	1423643_at	1418127_a_at	0.604582
76219	Arxes1	1451175_at	1418127_a_at	0.604443
76687	Spcs3	1451175_at	1418127_a_at	0.604443
76976	Arxes2	1451175_at	1418127_a_at	0.604443
12850	Coq7	1416665_at	1418127_a_at	0.603904
67036	Mrpl45	1423492_at	1418127_a_at	0.603682
433064	Gm17748	1424136_a_at	1418127_a_at	0.602324
66101	Ppih	1424136_a_at	1418127_a_at	0.602324
69736	Nup37	1423969_at	1418127_a_at	0.602209
67270	Mrpl42	1418439_at	1418127_a_at	0.595651
27393	Mrpl39	1417966_at	1418127_a_at	0.595089
21915	Dtymk	1452681_at	1418127_a_at	0.594151
66317	Wdr61	1448102_a_at	1418127_a_at	0.592945
107047	Psmg2	1448212_at	1418127_a_at	0.592921
75062	Sf3a3	1423811_at	1418127_a_at	0.591640
66488	Fam136a	1417075_at	1418127_a_at	0.591573
11946	Atp5a1	1449710_s_at	1418127_a_at	0.591268
67834	Idh3a	1432016_a_at	1418127_a_at	0.591014
105446	Gmpr2	1416356_at	1418127_a_at	0.590942
232449	Dera	1424047_at	1418127_a_at	0.589981
16647	Kpna2	1415860_at	1418127_a_at	0.588292
229363	Gmps	1433567_at	1418127_a_at	0.588189
68971	Tamm41	1428684_at	1418127_a_at	0.587935
11740	Slc25a5	1436874_x_at	1418127_a_at	0.586784
433923	Gm5560	1436874_x_at	1418127_a_at	0.586784
12617	Cenpc1	1420441_at	1418127_a_at	0.586045
70478	Mipep	1428290_at	1418127_a_at	0.585499
381314	Iars2	1426735_at	1418127_a_at	0.585320
218138	Gmds	1434158_at	1418127_a_at	0.584860
56456	Actl6a	1416569_at	1418127_a_at	0.584690
19181	Psmc2	1426611_at	1418127_a_at	0.584410
74252	Armc1	1451638_s_at	1418127_a_at	0.584325
66131	Tipin	1426612_at	1418127_a_at	0.583932
26754	Cops5	1460171_at	1418127_a_at	0.583210
103468	Nup107	1426751_s_at	1418127_a_at	0.582243
94061	Mrpl1	1450948_a_at	1418127_a_at	0.582140
223691	Eif3l	1423728_at	1418127_a_at	0.582035
14057	Sfxn1	1417559_at	1418127_a_at	0.581491
72612	2700029M09Rik	1452877_at	1418127_a_at	0.581226
71805	Nup93	1424291_at	1418127_a_at	0.580383
226539	Dars2	1433838_at	1418127_a_at	0.579798
109079	Sephs1	1454792_s_at	1418127_a_at	0.579006
77744	Bora	1433807_at	1418127_a_at	0.578836
66385	Ppp1r7	1417919_at	1418127_a_at	0.578741
12461	Cct2	1433535_x_at	1418127_a_at	0.578640
76614	Immt	1433470_a_at	1418127_a_at	0.578460
68981	Snrpa1	1417351_a_at	1418127_a_at	0.578249
67383	2410127L17Rik	1429458_at	1418127_a_at	0.577868
12465	Cct5	1417258_at	1418127_a_at	0.577611
621156	Apoo-ps	1452800_a_at	1418127_a_at	0.577202
68316	Apoo	1452800_a_at	1418127_a_at	0.577202
67824	Nmral1	1430530_s_at	1418127_a_at	0.577145
19183	Psmc3ip	1442058_s_at	1418127_a_at	0.577012
228812	Pigu	1439350_s_at	1418127_a_at	0.576583
19384	Ran	1433569_x_at	1418127_a_at	0.576448
19428	Rasl2-9	1433569_x_at	1418127_a_at	0.576448
225745	Haus1	1424955_at	1418127_a_at	0.576441
234736	Rfwd3	1423882_at	1418127_a_at	0.576340
104184	Blmh	1452101_at	1418127_a_at	0.576143
14885	Gtf2h4	1437163_x_at	1418127_a_at	0.575795
50995	Uba2	1448283_a_at	1418127_a_at	0.574960
19075	Prim1	1418369_at	1418127_a_at	0.574736
100042069	Gm15210	1415852_at	1418127_a_at	0.574592
23918	Impdh2	1415852_at	1418127_a_at	0.574592
50911	Exosc9	1418462_at	1418127_a_at	0.574307
66603	Gemin2	1451044_at	1418127_a_at	0.574023
11431	Acp1	1450721_at	1418127_a_at	0.573676
19656	Rbmxl1	1416177_at	1418127_a_at	0.573631
27632	Nelfe	1450705_at	1418127_a_at	0.571591
23874	Farsb	1435103_x_at	1418127_a_at	0.570811
27398	Mrpl2	1448811_at	1418127_a_at	0.570806
64657	Mrps10	1428153_at	1418127_a_at	0.570683
66497	Cmss1	1428519_at	1418127_a_at	0.570347
72151	Rfc5	1452917_at	1418127_a_at	0.570091
17846	Commd1	1424121_at	1418127_a_at	0.570062
27395	Mrpl15	1434970_a_at	1418127_a_at	0.569743
66980	Zdhhc6	1423300_at	1418127_a_at	0.569720
17766	Nudt1	1449349_at	1418127_a_at	0.569557
67669	l7Rn6	1419351_a_at	1418127_a_at	0.569028
13445	Cdk2ap1	1435509_x_at	1418127_a_at	0.568980
18701	Pigf	1448896_at	1418127_a_at	0.568825
67003	Uqcrc2	1435757_a_at	1418127_a_at	0.567592
11545	Parp1	1435368_a_at	1418127_a_at	0.567560
67285	Cwc27	1426455_at	1418127_a_at	0.567470
22335	Vdac3	1416175_a_at	1418127_a_at	0.567452
66407	Mrps15	1449294_at	1418127_a_at	0.567414
70316	Ndufab1	1447919_x_at	1418127_a_at	0.567267
12468	Cct7	1415817_s_at	1418127_a_at	0.566357
69702	Ndufaf1	1423711_at	1418127_a_at	0.565732
20624	Eftud2	1438835_a_at	1418127_a_at	0.565230
17688	Msh6	1416915_at	1418127_a_at	0.564544
66585	Snrnp40	1428264_at	1418127_a_at	0.564411
17692	Msl3	1448645_at	1418127_a_at	0.564288
216443	Mars	1455951_at	1418127_a_at	0.563774
77219	Ptgr2	1451744_a_at	1418127_a_at	0.563547
210766	Brcc3	1452128_a_at	1418127_a_at	0.563274
68197	Ndufc2	1455036_s_at	1418127_a_at	0.563101
64655	Mrps22	1416595_at	1418127_a_at	0.562837
235559	Topbp1	1452241_at	1418127_a_at	0.562646
19173	Psmb5	1415676_a_at	1418127_a_at	0.562355
52653	Nudcd2	1449140_at	1418127_a_at	0.561990
52665	Echdc1	1419552_at	1418127_a_at	0.561913
26572	Cops3	1416678_at	1418127_a_at	0.561345
71919	Rpap3	1448555_at	1418127_a_at	0.560820
76983	Scfd1	1428335_a_at	1418127_a_at	0.559899
68001	1110004E09Rik	1424315_at	1418127_a_at	0.559527
60315	Myg1	1424088_at	1418127_a_at	0.558793
70247	Psmd1	1429291_at	1418127_a_at	0.558484
18971	Pold1	1456055_x_at	1418127_a_at	0.558250
66231	Thoc7	1448461_a_at	1418127_a_at	0.558134
67878	Tmem33	1452053_a_at	1418127_a_at	0.558042
59029	Psmd14	1421751_a_at	1418127_a_at	0.557457
67429	Nudcd1	1433547_s_at	1418127_a_at	0.557432
73078	Pmpcb	1429709_at	1418127_a_at	0.557231
68250	Fam96a	1416634_at	1418127_a_at	0.557174
66445	Cyc1	1416604_at	1418127_a_at	0.556908
234309	Cbr4	1451398_at	1418127_a_at	0.556826
67005	Polr3k	1439266_a_at	1418127_a_at	0.556575
21454	Tcp1	1448122_at	1418127_a_at	0.555961
17350	Mlh1	1417360_at	1418127_a_at	0.555760
66471	Anp32e	1420592_a_at	1418127_a_at	0.555472
26442	Psma5	1424681_a_at	1418127_a_at	0.555465
22384	Eif4h	1438554_x_at	1418127_a_at	0.554985
226139	Cox15	1426693_x_at	1418127_a_at	0.554698
67089	Psmc6	1417770_s_at	1418127_a_at	0.554695
68015	Trap1	1416170_at	1418127_a_at	0.554498
73122	Tgfbrap1	1416170_at	1418127_a_at	0.554498
70885	Ints10	1452810_at	1418127_a_at	0.554483
12729	Clns1a	1423181_s_at	1418127_a_at	0.554467
72050	Kdelc1	1450422_a_at	1418127_a_at	0.554243
103963	Rpn1	1448353_x_at	1418127_a_at	0.553837
20383	Srsf3	1454993_a_at	1418127_a_at	0.553518
109093	Rars2	1424209_at	1418127_a_at	0.553271
14211	Smc2	1448635_at	1418127_a_at	0.553038
54364	Rpp30	1423373_at	1418127_a_at	0.552922
69072	Ebna1bp2	1428315_at	1418127_a_at	0.552865
66642	Ctnnbl1	1448582_at	1418127_a_at	0.552567
107572	Mchm2	1434079_s_at	1418127_a_at	0.552543
17216	Mcm2	1434079_s_at	1418127_a_at	0.552543
21672	Prdx2	1418506_a_at	1418127_a_at	0.552539
26893	Cops6	1451366_at	1418127_a_at	0.551916
109785	Pgm3	1428228_at	1418127_a_at	0.551826
70361	Lman1	1452671_s_at	1418127_a_at	0.551805
107272	Psat1	1454607_s_at	1418127_a_at	0.551778
21762	Psmd2	1415831_at	1418127_a_at	0.550860
11564	Adsl	1418372_at	1418127_a_at	0.550802
13665	Eif2s1	1452662_a_at	1418127_a_at	0.550778
56307	Metap2	1434120_a_at	1418127_a_at	0.550396
381045	Ccdc58	1424465_at	1418127_a_at	0.550237
67144	Lrrc40	1448720_at	1418127_a_at	0.549693
14056	Ezh2	1416544_at	1418127_a_at	0.549565
19172	Psmb4	1451205_at	1418127_a_at	0.549347
