entrez	target gene	target probe	source probe	Score
59015	Nup160	1418530_at	1418127_a_at	0.645331
56075	Pdss1	1431893_a_at	1418127_a_at	0.645000
74197	Gtf2e1	1428124_at	1418127_a_at	0.644940
56307	Metap2	1434120_a_at	1418127_a_at	0.644911
235339	Dlat	1426264_at	1418127_a_at	0.644868
66390	Slmo2	1448543_at	1418127_a_at	0.644824
21917	Tmpo	1428976_at	1418127_a_at	0.644781
17766	Nudt1	1449349_at	1418127_a_at	0.643966
59029	Psmd14	1421751_a_at	1418127_a_at	0.643561
15574	Hus1	1418308_at	1418127_a_at	0.643332
56275	Rbm14	1456566_x_at	1418127_a_at	0.643130
19179	Psmc1	1416005_at	1418127_a_at	0.642821
12545	Cdc7	1426002_a_at	1418127_a_at	0.642196
13665	Eif2s1	1452662_a_at	1418127_a_at	0.641951
14885	Gtf2h4	1437163_x_at	1418127_a_at	0.641851
17218	Mcm5	1436808_x_at	1418127_a_at	0.641742
64655	Mrps22	1416595_at	1418127_a_at	0.641422
68971	Tamm41	1428684_at	1418127_a_at	0.640640
269470	Wdr3	1433746_at	1418127_a_at	0.640610
105377	Ankrd32	1423577_at	1418127_a_at	0.640506
70237	Bhlhb9	1428512_at	1418127_a_at	0.640183
12466	Cct6a	1423517_at	1418127_a_at	0.640095
77065	Ints7	1428531_at	1418127_a_at	0.640064
19069	Nup88	1428073_a_at	1418127_a_at	0.640001
67059	Ola1	1438094_x_at	1418127_a_at	0.639804
67870	Enoph1	1437327_x_at	1418127_a_at	0.639760
66310	Dpy30	1423767_at	1418127_a_at	0.639750
94062	Mrpl3	1422464_at	1418127_a_at	0.639630
15526	Hspa9	1418503_at	1418127_a_at	0.638851
20016	Polr1c	1435057_x_at	1418127_a_at	0.638811
64424	Polr1e	1435057_x_at	1418127_a_at	0.638811
54722	Dfna5	1421534_at	1418127_a_at	0.638779
234344	Naf1	1452192_at	1418127_a_at	0.638744
57783	Tnip1	1452192_at	1418127_a_at	0.638744
230484	Usp1	1451080_at	1418127_a_at	0.638730
18968	Pola1	1419397_at	1418127_a_at	0.638408
107045	Lars	1448403_at	1418127_a_at	0.638265
269033	4930503L19Rik	1448403_at	1418127_a_at	0.638265
71701	Pnpt1	1452676_a_at	1418127_a_at	0.637641
69716	Trip13	1429295_s_at	1418127_a_at	0.637354
70470	Rprd1b	1427887_at	1418127_a_at	0.637328
98415	Nucks1	1433519_at	1418127_a_at	0.636629
77744	Bora	1433807_at	1418127_a_at	0.636576
71805	Nup93	1424291_at	1418127_a_at	0.636413
17220	Mcm7	1439269_x_at	1418127_a_at	0.636138
27395	Mrpl15	1435232_x_at	1418127_a_at	0.636066
27401	Skp2	1460247_a_at	1418127_a_at	0.634961
104458	Rars	1416312_at	1418127_a_at	0.633972
118451	Mrps2	1420846_at	1418127_a_at	0.633677
56207	Uchl5	1419452_at	1418127_a_at	0.633332
26572	Cops3	1416678_at	1418127_a_at	0.632573
64657	Mrps10	1428153_at	1418127_a_at	0.632082
110074	Dut	1419270_a_at	1418127_a_at	0.631953
67877	Naa20	1418244_at	1418127_a_at	0.631866
73192	Xpot	1428949_at	1418127_a_at	0.631219
66413	Psmd6	1423697_at	1418127_a_at	0.631140
621156	Apoo-ps	1452800_a_at	1418127_a_at	0.630282
