entrez	target gene	target probe	source probe	Score
12237	Bub3	1416815_s_at	1418127_a_at	0.589436
75619	Fastkd2	1452172_at	1418127_a_at	0.588055
100042069	Gm15210	1415851_a_at	1418127_a_at	0.587770
23918	Impdh2	1415851_a_at	1418127_a_at	0.587770
20016	Polr1c	1435057_x_at	1418127_a_at	0.587328
64424	Polr1e	1435057_x_at	1418127_a_at	0.587328
236930	Ercc6l	1424766_at	1418127_a_at	0.586933
20901	Strap	1419912_s_at	1418127_a_at	0.586513
14000	Drosha	1438505_s_at	1418127_a_at	0.586485
104184	Blmh	1438961_s_at	1418127_a_at	0.586435
227197	Ndufs1	1425143_a_at	1418127_a_at	0.586396
108943	Trmt10a	1435035_at	1418127_a_at	0.586059
218138	Gmds	1434158_at	1418127_a_at	0.586006
118451	Mrps2	1420846_at	1418127_a_at	0.585974
56207	Uchl5	1419452_at	1418127_a_at	0.585920
26409	Map3k7	1419988_at	1418127_a_at	0.585278
319554	Idi1	1423804_a_at	1418127_a_at	0.585178
20643	Snrpe	1451294_s_at	1418127_a_at	0.584580
26987	Eif4e2	1435803_a_at	1418127_a_at	0.584269
71919	Rpap3	1448555_at	1418127_a_at	0.584040
16434	Itpa	1416448_at	1418127_a_at	0.583468
15384	Hnrnpab	1455855_x_at	1418127_a_at	0.582760
66074	Tmem167	1423207_at	1418127_a_at	0.582010
320267	Fubp3	1433679_at	1418127_a_at	0.581749
56456	Actl6a	1456730_x_at	1418127_a_at	0.581685
234736	Rfwd3	1423882_at	1418127_a_at	0.581236
67609	4930453N24Rik	1449718_s_at	1418127_a_at	0.581016
68197	Ndufc2	1455036_s_at	1418127_a_at	0.580131
72584	Cul4b	1417454_at	1418127_a_at	0.580117
68184	Denr	1420368_at	1418127_a_at	0.579774
15201	Hells	1417541_at	1418127_a_at	0.579533
70620	Ube2v2	1417983_a_at	1418127_a_at	0.579207
59029	Psmd14	1421751_a_at	1418127_a_at	0.578663
72722	Fam98a	1416445_at	1418127_a_at	0.578155
72201	Otud6b	1428277_at	1418127_a_at	0.578065
170762	Nup155	1418727_at	1418127_a_at	0.577418
231327	Ppat	1428543_at	1418127_a_at	0.576768
71743	Coasy	1428543_at	1418127_a_at	0.576768
382245	Tmem29	1428930_at	1418127_a_at	0.576657
21915	Dtymk	1438096_a_at	1418127_a_at	0.576221
14606	Gpin1	1429728_at	1418127_a_at	0.576170
252876	Gin1	1429728_at	1418127_a_at	0.576170
228033	Atp5g3	1454661_at	1418127_a_at	0.574837
68971	Tamm41	1428684_at	1418127_a_at	0.574565
74252	Armc1	1451638_s_at	1418127_a_at	0.573801
217666	L2hgdh	1424858_at	1418127_a_at	0.573664
218236	Fam120a	1433572_a_at	1418127_a_at	0.573571
209003	Rbmx2	1424705_at	1418127_a_at	0.573525
56295	Higd1a	1416480_a_at	1418127_a_at	0.573054
68153	Gtf2e2	1448884_at	1418127_a_at	0.573000
108143	Taf9	1451509_at	1418127_a_at	0.572195
60530	Fignl1	1422430_at	1418127_a_at	0.572104
72482	Acbd6	1453199_at	1418127_a_at	0.572014
54364	Rpp30	1423373_at	1418127_a_at	0.571950
28185	Tomm70a	1426676_s_at	1418127_a_at	0.571857
15115	Hars	1438510_a_at	1418127_a_at	0.571761
53600	Timm23	1416485_at	1418127_a_at	0.571433
399101	Snhg3	1433789_at	1418127_a_at	0.571420
57750	Wdr12	1448646_at	1418127_a_at	0.571419
13684	Eif4e	1423220_at	1418127_a_at	0.571258
103573	Xpo1	1418442_at	1418127_a_at	0.570986
75062	Sf3a3	1423811_at	1418127_a_at	0.570784
22143	Tuba1b	1423846_x_at	1418127_a_at	0.570777
434428	Gm5620	1423846_x_at	1418127_a_at	0.570777
56350	Arl3	1450706_a_at	1418127_a_at	0.570740
19179	Psmc1	1416005_at	1418127_a_at	0.570088
65102	Nif3l1	1416931_at	1418127_a_at	0.570024
103784	Wdr92	1458355_x_at	1418127_a_at	0.569317
16647	Kpna2	1415860_at	1418127_a_at	0.568851
239739	Lamp3	1417057_a_at	1418127_a_at	0.568567
67738	Ppid	1417057_a_at	1418127_a_at	0.568567
68988	Prpf31	1448633_at	1418127_a_at	0.568326
236792	Mmgt1	1436705_at	1418127_a_at	0.567633
66671	Ccnh	1456293_s_at	1418127_a_at	0.567548
71675	0610010F05Rik	1428652_at	1418127_a_at	0.567291
69270	Gins1	1452598_at	1418127_a_at	0.566175
69912	Nup43	1432187_at	1418127_a_at	0.565707
74044	Ttf2	1428522_at	1418127_a_at	0.565582
12301	Cacybp	1452047_at	1418127_a_at	0.565290
26443	Psma6	1437144_x_at	1418127_a_at	0.564864
18393	Orc2	1418225_at	1418127_a_at	0.564804
17975	Ncl	1415772_at	1418127_a_at	0.564773
68092	Ncbp2	1423046_s_at	1418127_a_at	0.564763
75710	Rbm12	1416928_at	1418127_a_at	0.564382
110809	Srsf1	1453722_s_at	1418127_a_at	0.563946
19384	Ran	1438977_x_at	1418127_a_at	0.563923
19428	Rasl2-9	1438977_x_at	1418127_a_at	0.563923
94181	Nans	1417774_at	1418127_a_at	0.563791
20639	Snrpb2	1452422_a_at	1418127_a_at	0.563636
28200	Dhrs4	1451559_a_at	1418127_a_at	0.563589
17217	Mcm4	1436708_x_at	1418127_a_at	0.563272
19823	Rnf7	1456600_a_at	1418127_a_at	0.563166
53858	Rwdd2b	1419760_a_at	1418127_a_at	0.562956
28028	Mrpl50	1451266_at	1418127_a_at	0.562915
27050	Rps3	1455600_at	1418127_a_at	0.562432
66310	Dpy30	1423767_at	1418127_a_at	0.562295
68999	Anapc10	1429376_s_at	1418127_a_at	0.562245
53610	Nono	1415820_x_at	1418127_a_at	0.562089
66385	Ppp1r7	1417919_at	1418127_a_at	0.561944
66488	Fam136a	1417075_at	1418127_a_at	0.561620
234865	Nup133	1436816_at	1418127_a_at	0.561555
218973	Wdhd1	1435114_at	1418127_a_at	0.561079
100608	Noc4l	1443794_x_at	1418127_a_at	0.560971
68014	Zwilch	1416757_at	1418127_a_at	0.560816
70120	Yars2	1439442_x_at	1418127_a_at	0.560490
68115	9430016H08Rik	1424075_at	1418127_a_at	0.560475
67054	Paics	1423564_a_at	1418127_a_at	0.559182
18974	Pole2	1427094_at	1418127_a_at	0.559115
641376	Tomm40l	1455614_at	1418127_a_at	0.559027
20916	Sucla2	1452206_at	1418127_a_at	0.558760
28018	Ubfd1	1448968_at	1418127_a_at	0.558754
68278	Ddx39	1455814_x_at	1418127_a_at	0.558495
53893	Nudt5	1448651_at	1418127_a_at	0.557823
230596	Prpf38a	1433565_at	1418127_a_at	0.557479
76890	Memo1	1449821_a_at	1418127_a_at	0.557232
11740	Slc25a5	1438360_x_at	1418127_a_at	0.557122
433923	Gm5560	1438360_x_at	1418127_a_at	0.557122
22099	Tsn	1416908_s_at	1418127_a_at	0.556730
73754	Thap1	1455003_at	1418127_a_at	0.556443
53379	Hnrnpa2b1	1420365_a_at	1418127_a_at	0.556424
102436	Lars2	1435682_at	1418127_a_at	0.555996
75812	Tasp1	1424810_at	1418127_a_at	0.555870
229363	Gmps	1433567_at	1418127_a_at	0.555748
56275	Rbm14	1456566_x_at	1418127_a_at	0.555640
67311	Nanp	1417941_at	1418127_a_at	0.555580
17089	Lyar	1417511_at	1418127_a_at	0.555487
93790	Nipa2	1421968_a_at	1418127_a_at	0.555432
22247	Umps	1434859_at	1418127_a_at	0.555427
77626	Smpd4	1453182_a_at	1418127_a_at	0.555137
11958	Atp5k	1434053_x_at	1418127_a_at	0.555113
22791	Dnajc2	1454219_at	1418127_a_at	0.555096
67270	Mrpl42	1418439_at	1418127_a_at	0.554930
66471	Anp32e	1420592_a_at	1418127_a_at	0.554735
66249	Pno1	1450735_at	1418127_a_at	0.554646
94064	Mrpl27	1442299_at	1418127_a_at	0.554200
67197	Zcrb1	1428489_at	1418127_a_at	0.553803
66603	Gemin2	1451044_at	1418127_a_at	0.553738
18968	Pola1	1419397_at	1418127_a_at	0.553443
100040608	Fancf	1435834_at	1418127_a_at	0.553412
69527	Mrps9	1418034_at	1418127_a_at	0.553272
17713	Grpel1	1417320_at	1418127_a_at	0.553262
67892	Coa6	1435864_a_at	1418127_a_at	0.553258
75939	4930579G24Rik	1429364_at	1418127_a_at	0.552999
216987	Utp6	1424500_at	1418127_a_at	0.552810
98258	Txndc9	1436951_x_at	1418127_a_at	0.552702
93762	Smarca5	1424206_at	1418127_a_at	0.552690
106344	Rfc4	1438161_s_at	1418127_a_at	0.552563
70247	Psmd1	1429291_at	1418127_a_at	0.552054
12626	Cetn3	1417239_at	1418127_a_at	0.551716
70465	Wdr77	1422844_a_at	1418127_a_at	0.551541
66419	Mrpl11	1437131_x_at	1418127_a_at	0.551525
226043	Cbwd1	1451531_at	1418127_a_at	0.551439
17218	Mcm5	1436808_x_at	1418127_a_at	0.551306
73699	Ppp2r1b	1428265_at	1418127_a_at	0.551157
72107	Dscc1	1452912_at	1418127_a_at	0.551017
67681	Mrpl18	1448373_at	1418127_a_at	0.550802
67166	Arl8b	1428137_at	1418127_a_at	0.550776
226844	Mfsd7b	1434424_at	1418127_a_at	0.549700
100043882	Gm14277	1416336_s_at	1418127_a_at	0.549478
20641	Snrpd1	1416336_s_at	1418127_a_at	0.549478
19362	Rad51ap1	1417938_at	1418127_a_at	0.548795
67834	Idh3a	1432016_a_at	1418127_a_at	0.548616
