"Pathway","Pro-B vs Pre-B","Pre-B vs Immature-B","Immature-B vs Mature-B","DN-T vs DP-T","DP-T vs SP-T","SP-T vs Mature-T"
"ABC transporters",NA,NA,NA,NA,NA,NA
"Fatty acid degradation",NA,NA,NA,1.90486290322581,NA,1.90486290322581
"Glycolysis",NA,NA,NA,1.51931603773585,1.62060377358491,NA
"Mitochondrial membrane potential",NA,1.51218309859155,NA,NA,1.58779225352113,1.81461971830986
"Mitochondrial proteins",1.16732416107383,1.74378053691275,NA,1.54922651006711,1.65731208053691,1.46275805369128
"Protein degradation",1.37327325581395,2.30959593023256,NA,NA,1.84143459302326,1.90385610465116
"Protein synthesis",NA,1.32463311688312,NA,1.53378571428571,2.23096103896104,1.56864448051948
"TCA+OXPHOS",NA,3.05637591240876,NA,1.72410948905109,2.19432116788321,2.15513686131387
