"Pathway","Pro-B vs DN-T","Pre-B vs DP-T","Immature-B vs SP-T","Mature-B vs Mature-T"
"ABC transporters",NA,NA,NA,1.8788875
"Fatty acid degradation",1.90486290322581,1.7316935483871,2.94387903225806,NA
"Glycolysis",1.82317924528302,NA,2.02575471698113,1.62060377358491
"Mitochondrial membrane potential",NA,1.43657394366197,1.6634014084507,1.6634014084507
"Mitochondrial proteins",1.98156879194631,1.15291275167785,1.83745469798658,NA
"Protein degradation",1.62295930232558,1.93506686046512,2.09112063953488,NA
"Protein synthesis",1.63836201298701,1.60350324675325,1.77779707792208,1.39435064935065
"TCA+OXPHOS",2.07676824817518,1.33226642335766,3.05637591240876,1.33226642335766
