"NAME","GSM538201","GSM538202","GSM538203","GSM538382","GSM538383","GSM538384","GSM538415","GSM538416","GSM538417"
"SLIT1",36.7491,39.118,37.976,44.3178,34.3714,50.286,72.7566,46.866,54.1946
"ARHGAP19",54.1405,49.2872,49.5964,48.0491,47.4011,50.6529,57.1642,39.3308,61.5823
"FRAT2",80.2421,103.4322,98.8173,193.437,136.0794,143.0217,158.5396,221.0351,172.2549
"RRP12",211.8281,203.3389,214.4184,287.6554,264.9616,227.4754,239.7718,288.3001,369.5781
"EXOSC1",507.865,481.3467,486.1744,576.1541,525.8434,571.3911,321.2299,410.7125,391.9663
"MMS19",356.2348,331.411,307.3467,480.4979,497.0531,425.8255,198.1788,299.1772,349.2498
"MORN4",39.814,49.3541,46.6281,48.1239,40.5881,47.0342,62.5546,57.166,44.822
"AVPI1",77.1632,74.3093,85.9488,94.666,80.036,86.3482,111.6555,137.4624,113.6031
"SFRP5",42.0531,37.656,43.1023,45.2442,36.9223,49.9063,62.0621,70.1995,53.5465
"CRTAC1",60.6275,57.3703,58.9316,63.1195,62.1292,68.9644,118.4561,96.9934,101.9443
"LOXL4",20.0379,18.7025,17.3438,17.0571,19.5435,16.4211,22.3958,12.9899,15.028
"PYROXD2",49.0825,52.3676,54.3162,65.6149,53.9939,62.6958,84.992,72.6676,64.7837
"HPS1",212.6278,223.1321,207.363,217.403,214.9491,211.0092,209.02,255.8807,224.9614
"HPSE2",24.2694,31.6324,32.0838,33.1537,26.9343,35.146,31.2194,37.7289,38.7038
"GOT1",285.9882,282.4662,290.9662,349.1794,365.2748,256.3668,265.9438,220.1271,223.8222
"SLC25A28",307.5439,300.713,291.8795,268.9298,291.3908,235.7168,248.4096,271.3974,243.7506
"COX15",262.5658,217.9679,241.5318,230.149,228.3317,245.3576,201.002,251.574,250.7292
"DNMBP",136.9006,126.7387,118.4169,118.5048,143.8764,127.6967,119.0962,110.2208,118.4783
"CPN1",23.8785,28.173,27.8426,23.903,25.0825,37.8916,40.4596,54.7449,45.4772
"CYP2C44",16.0145,20.6174,18.6287,18.9474,17.6234,21.7958,28.001,20.3104,20.4173
"ERLIN1",192.2037,177.5052,179.3898,76.3822,106.8593,70.1094,72.1064,70.1739,63.5126
"CHUK",715.695,665.2792,593.4765,406.737,439.6877,409.3042,170.8186,227.0336,251.6332
"CWF19L1",426.2761,334.525,323.8695,272.053,256.6125,266.2989,173.7133,181.9653,203.5075
"BLOC1S2",273.3549,213.586,194.62,162.0928,186.1043,155.9786,78.1921,121.7417,133.381
"PKD2L1",23.3867,25.774,27.9204,25.617,21.6912,24.7775,35.1184,35.5572,25.5801
"SCD1",3566.1669,3613.515,3104.4777,21.1679,20.6361,20.5192,29.9536,26.7315,28.7312
"SEC31B",49.211,54.1431,58.9123,73.8615,63.9489,71.8624,101.1092,91.9039,67.1368
