GeneSymbol,proB_CLP_BM,proB_FrA_BM,proB_FrBC_BM,preB_FrC_BM,preB_FrD_BM,B_FrE_BM,B_FrF_BM,B_Fo_Sp,preT_ETP_Th,preT_DN2_Th,preT_DN3A_Th,preT_DN3B_Th,T_DN4_Th,T_DP_Th,T_4SP24._Th,T_8SP24._Th,T_4Nve_Sp,T_8Nve_Sp
GM10568,15.6208,17.2005,18.064,18.3324,16.7598,19.0288,16.8022,16.9647,16.4624,17.2687,17.3416,17.8332,17.3372,22.5559,18.6633,15.1361,16.0497,22.2389
LYPLA1,420.518,349.089,458.547,545.434,436.195,325.854,288.215,388.07,442.043,464.657,328.113,450.356,452.268,247.314,386.779,431.833,467.029,309.183
TCEA1,801.624,863.506,1056.05,986.208,948.705,884.831,846.424,852.905,788.367,762.087,579.686,777.125,760.616,616.094,808.596,745.995,649.561,739.532
ATP6V1H,198.577,166.98,255,242.416,236.911,224.805,183.946,239.792,226.415,204.934,151.95,194.764,192.343,148.036,232.308,270.688,213.006,184.188
OPRK1,14.8253,18.0217,15.3176,13.7226,16.2572,17.3243,16.9317,14.5509,15.6498,15.9824,16.803,17.7464,13.571,22.0763,16.0512,14.7142,14.5524,17.9011
RB1CC1,262.653,194.815,294.107,222.942,299.652,228.959,254.23,383.236,194.723,151.497,134.224,95.4357,110.62,228.51,188.173,161.889,291.273,125.208
FAM150A,9.40599,10.3231,10.698,9.41263,10.7412,11.2742,12.7324,10.4447,9.45048,9.64824,10.4428,10.5523,9.32913,16.1554,11.2059,10.9945,9.54991,15.4505
ST18,36.2672,43.6774,37.9787,32.4191,45.2589,41.0426,39.3536,37.0923,43.5167,40.9396,43.0778,36.0446,39.9404,53.2895,38.4387,36.6458,40.1732,57.8622
PCMTD1,204.244,199.311,628.851,474.786,402.93,319.952,402.4,509.402,210.071,266.783,765.671,190.123,186.062,266.407,203.582,182.101,276.098,196.399
AHCY,680.829,496.787,757.333,1671.29,453.117,355.539,354.801,391.993,1339,1830.14,944.555,1992.45,1435.87,283.038,460.933,604.284,488.062,471.794
RRS1,331.049,237.94,404.455,440.349,165.605,229.474,196.768,233.514,281.142,362.306,210.593,534.001,358.027,141.468,253.672,334.545,179.588,258.142
ADHFE1,33.544,41.8366,35.3291,36.3703,39.649,41.3869,38.705,44.6135,36.4491,45.7873,40.2398,48.2576,45.8223,53.8476,44.2968,40.617,46.042,48.9097
HNRNPA3,3799.16,3555.51,4223.25,5370.57,3789.53,2754.43,2263.54,2655.5,2789.31,3588.48,2164.99,3524.69,3810.7,2363,2827.67,3116.64,2349.13,1775.83
3110035E14RIK,24.8549,30.6577,23.6383,23.6154,25.7486,26.8377,25.5722,24.2352,21.6175,24.367,31.4479,23.9494,26.5953,34.8368,27.6276,23.2378,25.3812,31.6337
SGK3,877.112,627.469,291.407,213.965,232.85,450.986,498.705,624.296,601.406,705.205,493.566,313.836,281.08,280.724,475.27,434.32,431.54,272.739
6030422M02RIK,28.6219,24.8521,31.0397,23.0789,29.7867,31.1912,37.1849,37.7069,36.6602,31.3775,29.0785,27.0021,27.0664,30.2807,29.5526,27.9172,30.0092,34.0432
CSPP1,261.103,227.029,277.924,389.264,315.527,205.452,181.19,278.158,206.826,230.477,175.095,215.821,246.387,189.391,116.744,141.149,189.225,119.544
PREX2,18.5488,21.2045,17.3723,17.016,20.5103,20.076,17.9098,17.8465,18.9185,19.2219,19.1524,19.2205,19.7173,27.9928,20.9093,19.8326,17.7273,24.6129
A830018L16RIK,18.6912,20.4756,17.0029,17.1758,19.9819,18.6564,19.9942,18.2387,18.2958,17.9794,19.7553,19.3944,19.5306,22.6163,20.7125,17.4036,18.4887,23.7823
SULF1,25.1191,27.6184,26.1177,25.7968,27.4576,29.6555,28.7437,26.6262,25.8094,25.881,29.6782,26.3852,27.7725,38.6115,28.5704,26.4128,25.4174,30.1908
XKR9,12.9643,14.7123,14.0571,14.8057,13.8236,16.386,13.3388,12.3509,13.5613,12.5442,13.5852,13.918,13.2635,16.0887,15.1192,14.1473,12.0822,18.252
MSC,30.0358,36.7592,31.6913,29.3678,32.8427,36.0413,33.1687,28.4815,27.9398,26.1328,29.3234,27.8528,29.9609,46.5315,31.2952,28.9526,29.0109,42.7551
RPL5,4055.76,3400.46,3228.02,3887.42,2503.59,2145.28,2803.02,3558.35,3432.78,3027.47,2794.67,2913.8,2902.66,979.784,3618.23,3833.37,3900.62,3376.47
KCNB2,28.6747,34.1216,23.656,28.0107,26.8981,28.5634,32.7499,28.2795,30.7541,29.6346,27.8815,29.0738,32.2196,32.4024,27.9721,29.0261,30.4452,28.4852
TERF1,400.791,412.055,504.251,740.914,409.672,269.51,318.543,478.486,239.145,360.008,360.798,372.728,355.253,273.935,287.368,292.083,341.304,183.529
GM7634,60.9451,85.1038,59.3595,64.7975,79.453,52.2843,75.7939,77.9399,81.3115,74.6501,89.2403,83.5245,91.8876,55.24,59.6514,59.5416,117.035,56.5774
RDH10,152.373,149.25,178.911,203.406,205.036,198.972,225.164,233.962,170.051,156.035,241.915,164.53,168.614,157.669,193.223,169.228,219.241,164.826
TMEM70,265.952,197.19,212.165,251.289,158.32,164.198,159.573,182.569,255.852,251.645,233.201,275.988,229.829,197.164,256.95,245.77,211.874,199.825
LY96,25.3891,21.0687,26.8807,49.0162,31.7192,30.0368,23.859,33.2883,37.4896,33.1582,19.7973,31.1982,36.0388,31.7084,14.9399,16.4443,22.4239,16.843
GDAP1,17.0954,17.7192,16.2668,17.1071,16.4617,16.2041,18.5503,14.4508,15.6735,16.9053,15.7192,15.9574,16.5009,19.0135,15.0504,16.867,15.7101,17.1853
PI15,15.9358,18.1052,14.3364,14.8631,16.4714,18.5901,18.5954,15.3446,15.598,15.5755,15.8837,16.3959,15.3259,22.3862,15.5639,14.2495,17.0387,19.6227
CRISPLD1,69.3199,55.0046,40.492,42.4021,52.8742,46.3231,49.0196,45.5314,51.7004,49.5288,48.5844,45.742,48.4762,62.8205,48.7925,46.149,47.8826,49.4472
TCFAP2D,26.4373,29.1819,25.9459,24.2348,26.8563,29.7279,28.3092,26.4859,24.8715,26.1896,28.4473,26.6448,27.2879,36.1406,30.5236,26.4613,25.6717,39.2359
TCFAP2B,30.4131,35.2123,29.4411,30.681,32.464,37.7734,35.3323,28.2217,28.0085,31.1796,32.3532,32.573,34.5406,44.3603,32.5137,34.0792,29.7568,39.832
IARS,325.103,252.842,420.882,665.809,296.599,297.54,238.663,406.01,324.905,392.285,225.53,490.027,341.508,111.299,254.386,302.309,310.436,209.166
MIR206,6.79434,7.23326,7.55219,7.1816,6.938,7.62078,7.18804,6.81014,6.69888,6.99561,7.28608,7.34658,7.78743,10.3718,7.31986,7.63143,7.45809,8.34831
MIR133B,62.5163,75.5882,62.4548,58.5007,70.5577,70.1946,75.1085,63.3025,61.9365,63.0638,65.3661,68.534,71.2356,75.54,68.7754,68.0109,61.8977,88.0128
IL17A,64.762,66.3266,62.4464,60.2652,73.6747,79.2952,71.0362,60.3691,55.4408,54.0947,68.0466,62.8505,61.3831,89.7086,65.7856,67.4104,65.0674,118.247
PAQR8,122.538,117.005,74.5976,53.4833,58.6255,66.044,77.4438,73.0262,137.742,139.627,69.035,57.4002,62.2818,70.7787,88.2329,92.436,102.228,98.7265
EFHC1,57.924,67.5593,56.8153,60.6846,62.7343,55.0156,58.6046,46.3775,66.885,67.0686,90.2302,58.0835,56.0419,88.0588,51.735,53.8886,52.6569,75.5636
TMEM14A,58.605,51.5527,43.7505,40.448,46.1307,57.238,46.3851,46.9188,59.459,54.9754,62.5311,56.8787,53.3582,47.7155,54.4677,47.1832,57.3606,52.8337
GSTA3,39.3909,39.5122,38.2415,35.5351,36.9225,46.7615,42.4937,40.3598,37.275,37.7164,41.1339,39.4587,44.7966,46.5247,50.5239,48.1875,43.6127,48.1546
CETN4,23.5078,19.6909,21.2755,31.6643,14.679,15.8372,16.4536,15.4199,27.9714,24.7716,19.0776,17.8093,26.1609,19.4935,17.6652,15.3184,17.0573,18.2739
KHDC1A,9.89062,10.3312,11.6501,8.65201,10.584,12.1897,13.3934,11.3159,9.64754,21.372,128.285,17.8285,9.20374,9.39719,12.1306,10.185,9.13048,12.4192
KHDC1B,30.9767,33.9709,28.2528,29.508,32.5288,35.287,33.4224,30.0087,32.0729,48.1894,130.039,55.3445,39.7057,38.746,33.3308,33.1363,37.539,36.214
MIR30A,24.3543,25.7426,26.3086,29.1702,25.215,33.2478,29.5155,28.5709,27.3043,25.501,21.8954,25.5435,25.9517,27.3694,24.4405,28.4495,25.3666,36.0359
MIR30C-2,12.7632,14.7569,13.0877,13.3759,12.9157,13.6918,15.4468,12.2744,13.2871,13.8455,16.0333,14.3499,14.8429,17.1776,12.6046,12.0785,13.2215,12.6676
B3GAT2,62.4317,69.1056,63.4578,62.8306,74.1301,77.7498,77.9694,77.7214,58.1269,65.7106,67.143,58.4887,66.357,67.4967,92.4217,80.882,75.6226,71.577
1110058L19RIK,51.6059,63.7434,51.2138,44.5489,52.2242,60.8702,61.8832,41.9936,46.9658,46.5105,51.0559,56.1121,50.0501,83.4567,63.1735,61.3554,44.5097,84.8588
COL9A1,79.193,99.3083,72.7399,73.5393,81.3272,96.4062,91.137,84.677,72.6004,74.0353,76.4426,70.3929,79.6693,101.708,84.9727,82.1533,68.3006,97.8489
LMBRD1,183.203,131.206,210.369,178.169,395.255,648.036,942.98,1138.02,168.772,100.791,144.179,113.794,147.632,141.747,216.571,161.732,293.003,144.091
GM9884,30.4986,40.4172,25.6226,28.3863,31.8503,38.1831,42.6016,33.778,35.0518,31.0858,34.4001,34.4649,36.7209,44.2677,36.1265,30.225,31.9679,34.2059
GM6462,11.0003,11.2165,11.7622,12.0805,13.0457,10.8833,10.8388,12.091,13.4055,12.3709,13.31,19.4938,15.9628,10.847,10.8412,12.703,13.8392,12.9734
CDK10,268.57,222.634,202.667,217.527,229.344,273.382,241.839,258.552,273.236,310.586,359.845,319.172,199.846,155.282,211.614,216.303,251.542,178.735
LGSN,39.4563,48.55,40.4349,37.2221,40.1174,52.61,46.9441,39.6856,42.1299,41.1834,44.9345,46.5563,43.1522,64.9497,45.7648,44.5711,40.8779,58.0137
4930521A18RIK,9.46838,9.87447,11.756,10.5409,10.8518,10.6806,11.7074,9.16447,8.54861,9.46688,10.2399,10.365,10.059,15.8569,14.2054,10.0396,10.8433,10.7782
GM6489,34.6581,38.6851,44.2227,36.4324,39.0931,39.6109,35.6144,38.4607,35.8,36.8761,36.6394,32.6003,35.2558,40.8333,36.0063,38.3233,35.1707,47.2088
PAOX,506.546,410.813,275.385,302.198,196.52,171.052,148.807,124.115,1466.89,996.168,466.563,617.565,359.508,196.679,331.666,299.553,200.024,218.046
KHDRBS2,14.8854,18.8155,16.3085,16.8564,16.8409,16.3492,17.8721,16.0866,16.22,15.2933,16.4107,16.5777,16.1288,23.6429,16.7788,16.4873,16.1075,21.9854
1700001G17RIK,63.5103,77.2009,57.9896,61.9375,74.9979,60.153,60.8975,60.5308,74.6824,72.275,82.7198,70.7181,69.6893,117.877,74.9888,60.4983,77.0153,95.7396
RAB23,78.4621,70.4711,61.3847,86.4714,63.4416,56.8663,72.4586,75.2472,74.4364,82.4537,43.8785,77.1457,64.949,41.9698,59.8464,47.3386,77.6813,62.0013
DST,72.9959,67.5292,87.5416,52.0582,53.4151,45.3385,47.8718,38.791,82.0333,62.2243,58.833,61.6271,49.5972,67.7487,51.2483,45.0283,51.8522,54.2513
IMP4,375.376,318.521,464.271,491.967,380.567,402.087,393.541,414.488,631.122,621.682,642.392,867.216,709.833,289.709,453.631,454.143,588.865,457.249
D1ERTD448E,236.466,182.464,181.499,204.546,219.74,216.37,251.789,273.397,237.989,226.454,255.007,267.967,205.54,116.378,182.544,172.133,307.435,144.403
PTPN18,117.514,114.461,88.051,76.5242,85.8259,97.5914,123.693,96.3061,94.0895,68.587,74.2969,69.3279,72.4128,73.9545,87.1485,86.1998,100.736,83.4233
PRSS39,42.7791,43.1362,41.2872,37.0514,43.9642,44.0701,43.6126,39.2477,40.0734,38.9936,38.0241,45.1321,44.7527,47.0772,37.2942,34.6109,37.7921,41.0662
CFC1,79.3216,76.4102,64.2915,63.4639,80.3372,81.1898,82.0668,62.3749,76.2618,57.4097,80.4995,69.4072,75.8428,81.8514,78.7547,70.8457,67.2275,87.3903
FAM123C,41.2093,48.9682,53.5154,57.7716,52.0035,55.9501,51.6248,41.7098,46.388,42.7506,51.4799,45.3507,44.0777,54.7463,56.5775,50.97,45.3031,58.7698
ARHGEF4,65.4079,84.4496,65.7031,61.2138,75.0135,82.129,80.2628,69.838,64.3931,74.948,72.3655,69.6951,73.2584,122.716,78.1998,75.397,76.1409,93.8354
PLEKHB2,354.678,248.608,317.242,222.189,253.8,271.79,411.69,440.759,456.544,455.935,618.036,414.985,363.639,299.238,371.878,394.256,468.224,307.665
LOC280487,619.34,433.176,527.951,400.476,724.409,220.572,289.748,617.066,399.108,495.528,532.938,333.531,495.943,528.63,378.449,332.491,456.633,212.067
HS6ST1,186.113,193.907,240.52,154.299,150.581,235.446,190.52,200.769,210.049,179.524,278.864,216.042,212.484,414.453,252.461,286.371,213.627,227.846
ARID5A,277.113,271.67,401.151,260.87,534.367,372.286,294.881,316.604,379.989,368.127,335.216,153.36,169.031,181.494,422.669,432.049,485.607,425.39
CNNM4,147.473,118.728,167.227,162.448,129.793,163.766,168.655,188.163,183.747,226.816,236.771,259.557,231.628,140.096,162.386,152.39,133.317,111.753
CNNM3,258.396,222.027,272.735,219.982,243.891,196.037,204.611,231.739,306.939,394.969,442.543,352.387,299.415,270.262,272.066,264.433,296.522,233.442
COX5B,758.667,658.987,896.555,1121.6,728.09,573.182,479.284,528.916,1116.83,1253.9,947.685,1459.92,1293.36,537.907,706.373,848.483,696.638,594.038
ZAP70,86.7523,86.818,87.626,144.767,61.9788,52.9992,42.6492,41.8808,65.0825,77.3952,177.908,431.494,628.858,436.47,810.011,881.063,808.238,568.257
VWA3B,42.5337,48.0289,36.4498,39.6819,41.5658,43.2002,45.5853,37.6122,42.8604,39.1618,44.2629,42.1116,41.3605,40.6207,42.6706,50.6911,43.2644,65.2532
CNGA3,35.6342,45.1991,33.6371,33.1528,35.6194,43.837,43.3322,36.7346,36.284,33.4293,33.9872,37.0116,37.8475,50.4288,39.8803,36.5285,34.9467,49.1947
INPP4A,355.26,383.438,201.748,95.593,104.396,189.116,232.228,223.997,195.058,130.382,156.721,95.3326,157.614,137.299,479.047,289.021,586.196,256.828
UNC50,212.722,176.818,190.355,215.014,229.212,203.025,264.226,327.796,235.55,192.404,271.704,226.274,240.41,144.963,220.091,220.539,275.83,166.606
LIPT1,60.4144,51.4916,46.6845,48.9828,40.7396,52.5779,60.3664,74.1137,44.4138,49.1868,59.5527,58.3642,64.8067,51.8595,68.8714,69.9408,67.7913,65.0613
MRPL30,312.115,306.934,353.142,368.401,245.603,244.665,297.152,337.89,352.597,378.349,402.441,498.593,442.455,259.872,449.95,440.023,396.966,345.325
EIF5B,342.624,281.08,356.574,454.448,263.266,287.862,275.537,369.234,290.471,283.857,175.082,290.092,287.384,225.142,249.04,224.061,298.068,179.327
NMS,38.4798,46.3291,44.5916,42.2313,45.6809,43.9381,46.2281,38.8322,37.1917,39.8256,41.4337,46.2885,42.5539,56.2149,46.8344,39.3943,41.3095,53.0384
PDCL3,218.629,191.394,198.564,198.412,166.051,147.241,134.072,145.547,175.8,179.694,177.153,192.096,198.735,110.567,200.287,195.037,162.926,130.897
NPAS2,31.6313,30.3725,28.4584,25.0397,28.439,30.7504,30.9956,26.2617,28.4867,27.4555,111.317,33.3504,32.0031,64.0462,37.738,25.8675,34.6895,35.8309
RPL31,2729.09,2482.56,1931.69,2387.09,1359.11,998.734,1449.07,1880.15,4158.71,3195.97,2511.64,3051.89,2785.95,690.613,2641.7,2883.19,3260.33,1933.51
D1BWG0212E,499.901,416.243,523.115,593.524,478.518,528.375,444.711,465.643,474.183,509.925,564.773,634.814,621.302,436.006,573.548,570.462,470.658,344.493
MAP4K4,743.685,686.716,609.313,566.143,448.352,396.359,524.492,550.082,772.767,566.84,502.732,433.103,539.615,544.82,947.436,887.766,582.488,644.015
IL1R2,100.529,97.4397,30.7605,37.0054,40.0415,35.6077,41.5581,31.721,267.846,37.7408,40.635,32.4958,36.1929,46.9441,46.7921,38.1912,35.5467,45.2022
IL1R1,254.574,81.1422,43.7318,24.7625,22.6284,20.8819,20.7607,19.4369,394.172,63.6006,21.4944,25.0336,24.9942,29.6566,21.3163,20.2581,20.0714,24.1224
IL1RL2,57.0295,37.9674,29.3481,31.9045,19.4853,23.0642,16.4544,16.9266,67.0814,65.6133,51.623,35.7296,52.5626,66.3156,100.089,52.3929,148.175,50.8825
IL1RL1,36.8143,33.1192,27.3284,24.2484,27.9286,29.1325,30.8353,27.858,28.4069,24.4137,28.1168,27.2615,26.2586,34.6511,28.8773,24.9404,37.8701,32.6968
IL18R1,178.421,206.85,25.0933,25.8531,26.8249,29.2484,30.9613,23.2606,107.282,30.9035,25.5058,25.857,26.206,27.7854,88.5066,45.523,147.192,74.8926
IL18RAP,1654.61,1182.68,53.7869,48.7874,46.6148,49.5269,47.6155,29.9677,756.278,127.733,35.4619,31.6504,35.8613,49.4445,49.3813,45.7568,43.5345,76.0852
SLC9A4,48.009,63.0582,43.7585,46.5656,56.4796,51.6808,54.7488,48.0898,49.8474,45.8105,51.4801,45.4849,52.6025,68.5579,61.3724,51.6367,45.6848,67.4875
SLC9A2,80.5229,109.631,49.6883,40.1836,39.2357,46.5724,42.6192,40.4195,119.627,80.8108,57.4912,43.0798,46.6575,51.6584,40.6521,43.7661,44.1062,45.344
TMEM182,51.4351,71.0594,48.3884,50.1146,56.6109,63.7477,61.3671,47.3872,53.2377,56.7836,59.0173,53.7274,60.0472,61.8743,55.3193,52.9618,48.1875,59.7251
GM9915,32.9714,38.1619,34.4176,38.016,39.7797,37.6657,40.0846,35.8753,35.895,30.5028,38.9386,31.4405,28.3826,41.8931,36.3839,35.3188,33.571,46.188
POU3F3,62.2831,99.299,67.8239,71.3115,84.6206,78.7889,88.3485,71.8918,79.7078,70.4356,81.8211,73.5728,83.4699,131.78,93.0898,90.4545,75.3798,117.233
MRPS9,285.342,255.874,322.603,479.212,336.753,253.422,226.844,257.451,228.61,249.235,203.501,256.614,243.557,211.938,256.904,273.559,224.34,230.848
GPR45,46.9665,53.3594,44.2028,37.9836,42.542,42.8003,43.2771,38.4618,43.7585,42.1591,43.5852,48.4571,45.5325,48.7327,47.001,48.6116,38.0249,51.4321
8430432A02RIK,45.4168,51.8396,39.7513,43.7473,42.8099,41.0629,47.7833,48.4017,37.8051,35.7645,44.5303,37.4003,41.4573,50.9055,50.3886,41.7513,52.0376,43.5652
AI597479,156.384,178.275,137.272,191.215,170.654,178.198,159.355,184.255,171.637,173.839,168.903,194.266,192.258,141.663,212.014,169.645,183.132,139.883
GM8580,2020.99,1918.91,1766.44,2242.31,1406.43,1170.16,1401.39,1900.77,3955.16,3561.78,3518.18,4003.97,3841.82,1022.24,2128.3,2014.54,3192.09,1874.17
NCK2,94.9597,92.8442,134.946,121.09,153.703,130.405,110.365,126.997,112.937,403.603,729.973,635.877,415.158,665.402,237.265,205.37,226.281,236.443
1500015O10RIK,40.0017,49.5707,38.4233,40.9533,51.4919,45.3303,53.1299,51.9642,45.8426,39.8897,48.3493,44.3971,49.196,51.2071,46.062,43.4407,46.3681,67.4846
TPP2,508.549,372.356,610.61,709.731,514.143,409.854,472.062,624.032,581.218,588.706,342.813,549.566,537.369,382.889,597.865,561.558,857.727,326.827
BIVM,118.487,78.2732,85.5195,84.5201,43.6551,37.6765,55.4669,60.9782,251.494,186.471,212.308,160.249,127.535,64.7158,63.8583,85.9545,73.0854,71.6918
ERCC5,202.601,184.718,183.481,202.106,255.122,232.034,212.583,218.19,157.854,149.361,172.132,150.559,163.247,220.157,230.643,223.458,252.152,203.421
GULP1,10.3908,11.3727,10.5806,9.38733,10.4843,12.0741,10.6132,9.97113,9.55371,9.91261,10.2631,9.68882,9.22744,14.7709,10.8693,10.824,10.217,12.7265
COL3A1,81.454,102.918,66.2118,77.2843,85.2073,89.0089,99.8569,74.0768,78.6311,78.1426,83.2516,74.2399,79.212,101.042,85.6529,84.244,78.2394,95.5565
WDR75,293.866,206.362,264.976,339.822,188.555,236.882,234.551,343.439,287.893,343.816,262.193,466.837,385.063,109.188,277.725,295.61,313.858,247.455
RPL23A,3846.06,3490.14,3234.68,3837.92,2826.81,2328.59,3090.33,3584.26,5127.21,4317.62,3907.89,4127.18,4160.5,1575.67,3568.44,4133.32,4183.36,3573.83
DNAHC7B,13.5374,15.5,13.5373,13.6925,14.3927,13.3667,14.4804,13.8143,13.6739,13.019,13.8663,13.8257,14.5406,22.8802,14.5554,14.3481,14.0593,17.4829
C230029F24RIK,10.355,11.011,10.826,11.0279,10.0667,9.67995,10.3313,10.7185,11.1083,11.6908,11.8858,11.2903,11.1288,11.8998,10.5535,10.1264,10.0553,11.4317
TMEFF2,32.2357,36.1605,33.5184,37.7584,37.6864,40.3486,35.6675,36.611,36.7427,33.6209,38.4443,33.9313,36.0925,46.8454,31.9986,33.3318,34.3964,35.2863
SDPR,39.4162,29.2081,24.6105,21.2628,23.3438,24.9115,26.2749,22.9867,22.8954,21.4944,23.9694,22.85,21.7489,31.9253,22.3183,24.1113,23.8107,22.3127
STAT4,704.967,586.292,662.126,169.465,128.756,75.5469,780.737,1481.25,1061,978.588,699.339,290.274,320.682,284.305,474.936,947.445,1145.65,1018.02
STAT1,717.057,707.256,732.053,529.305,796.865,1349.56,1194.71,1677.35,582.597,476.229,909.132,469.792,602.564,484.215,2909.64,2618.84,2399.89,1775.51
TMEM194B,299.772,292.509,333.19,521.955,487.944,482.648,565.828,636.503,194.641,271.636,191.603,227.621,239.74,227.039,318.578,295.588,421.356,201.514
HIBCH,127.038,85.5769,90.8723,141.314,82.7058,67.4942,68.0185,98.2323,118.572,102.977,68.6494,75.3603,83.9847,68.9021,105.758,104.65,113.056,64.6796
MSTN,19.4903,21.8435,18.8352,19.1575,20.6384,20.8647,21.1521,17.5659,19.9154,18.8947,20.9781,18.7898,20.4389,34.0768,21.1026,18.1967,20.2409,28.4081
ORMDL1,150.574,123.031,162.373,171.947,207.838,204.705,169.869,206.477,112.015,122.333,114.302,122.628,145.914,189.894,188.623,195.298,214.244,149.484
OSGEPL1,81.4839,59.5215,76.1598,116.147,88.5563,100.885,110.231,147.686,76.4304,70.1619,84.4437,101.078,100.758,60.1764,75.4142,60.8787,97.4945,70.1445
CCDC150,19.9771,20.4969,20.1033,21.9661,20.0173,23.9399,20.9233,20.1819,20.2543,20.7423,19.9662,20.9089,22.7055,27.1705,18.7189,19.1554,18.8029,28.4585
COQ10B,125.813,108.424,146.03,125.947,137.364,137.504,155.881,184.915,295.229,147.992,113.275,142.705,129.082,167.253,156.952,149.062,184.093,179.171
HSPE1,863.263,811.296,800.96,1285.95,414.293,394.265,472.22,730.485,1125.12,1416.09,985.971,1945,1504.5,257.199,710.22,1084.93,1109.87,586.792
MOBKL3,334.481,235.903,565.824,404.107,525.336,277.683,274.45,512.827,294.023,285.584,206.845,200.098,230.61,186.096,271.389,261.192,393.481,174.579
GM10561,13.5567,10.6655,21.6382,15.0069,15.2219,17.5578,19.6412,32.9938,10.5535,9.10053,10.0442,10.8789,11.7022,16.6734,8.96363,10.6544,11.7037,12.5533
MARS2,196.138,168.47,266.69,292.066,212.764,261.119,310.189,352.829,174.963,181.81,208.919,265.35,224.545,206.317,186.704,194.729,231.62,177.571
PLCL1,57.7717,59.1572,62.166,87.3313,88.7844,77.1281,53.9282,48.165,54.9997,51.8101,67.7482,57.6863,86.3259,228.34,78.722,69.2895,73.1992,75.0679
1700066M21RIK,178.964,212.758,177.367,187.374,235.944,202.092,206.636,187.647,182.336,189.133,206.458,218.692,188.575,235.794,183.851,187.414,195.789,215.653
9430016H08RIK,78.0606,64.6802,75.126,95.3385,69.7936,55.1327,52.2755,69.9497,93.4091,92.489,101.552,127.22,136.04,40.2797,73.3883,74.9833,66.4688,48.9714
SPATS2L,56.6343,62.5459,48.88,51.8158,54.9905,61.1511,57.5774,47.5172,53.1804,54.9682,95.8877,62.0265,66.3549,111.21,62.2561,63.0898,62.8845,74.5061
SGOL2,232.111,236.487,294.777,834.01,268.211,87.8754,48.3484,43.7527,77.9069,130.934,58.2527,171.601,173.756,185.796,94.1997,95.6854,38.0226,47.3637
AOX1,49.0576,55.9359,49.067,45.1685,51.6901,64.884,61.2709,45.721,65.415,49.9007,49.6823,45.5098,50.5481,63.5437,49.7311,45.433,49.4452,54.1964
AOX3,25.1623,29.1245,26.206,26.1472,26.7416,31.2244,29.739,25.9989,26.5659,23.9804,26.6564,23.5802,24.7875,29.7637,28.7941,31.4519,25.2348,32.75
AOX4,42.9499,48.2516,39.8987,43.4839,46.9481,44.9941,45.3177,42.443,44.3219,45.9042,47.3396,46.2707,48.8868,56.3867,43.0752,40.2754,45.0832,60.3194
AOX3L1,33.3659,44.1805,34.5599,37.9267,35.6617,40.1805,41.75,34.3363,32.4928,34.3369,36.97,34.2127,35.8896,35.8116,38.4578,37.5139,34.6368,43.1452
BZW1,1674.64,1542.46,1955.37,2491.08,1896.96,1732.68,1275.8,1679.07,1857.59,1748.68,898.623,1585.48,1742.27,1056.66,1637.88,1492.18,1635.22,1021.76
NIF3L1,168.682,155.684,140.165,202.899,147.903,120.637,122.5,142.468,213.453,226.904,162.479,240.538,205.951,118.978,205.981,169.274,202.513,134.998
NDUFB3,100.623,110.21,94.1819,156.832,95.8141,74.2477,74.3334,86.0831,134.231,126.474,117.877,170.257,162.286,89.0536,83.5446,106.933,103.319,66.7142
CBX3,1054.27,907.959,1159.45,1801.07,829.64,399.436,379.629,634.75,1221.32,1621,825.477,1424.59,1505,442.902,723.001,713.59,762.753,302.31
CFLAR,234.108,183.636,212.318,233.398,187.355,185.433,252.094,320.4,223.414,217.394,170.891,140.788,173.229,220.644,365.192,317.262,519.072,249.157
CASP8,1006.21,898.176,708.966,674.531,580.811,515.37,567.343,855.953,985.962,1126.62,612.975,563.03,543.359,284.567,951.098,956.264,1158.63,648.761
STRADB,150.534,124.189,188.265,212.998,246.554,330.114,232.157,246.475,165.312,189.049,241.928,193.5,204.48,160.137,179.058,143.285,167.814,121.053
ALS2CR4,119.628,162.981,124.757,104.023,132.954,118.984,131.188,95.4417,103.011,107.436,107.107,118.906,103.601,194.719,153.29,133.398,111.927,200.734
CDK15,30.4198,38.8885,30.4911,29.7793,35.5096,32.8962,39.6163,30.4999,34.6363,31.5645,32.8054,29.6852,35.0909,56.127,38.5115,34.6785,32.8704,40.7899
FZD7,52.969,52.9578,49.1363,41.1609,41.3369,47.8951,38.0567,38.691,70.6216,71.8918,66.1477,64.9872,53.7615,42.0354,41.3579,46.7577,39.4881,60.9496
GM973,28.179,33.5283,27.1474,27.0443,33.2742,32.1807,34.6141,26.5401,29.1981,30.7357,33.6151,28.0045,33.1221,32.1255,31.073,28.48,30.1253,30.0483
NOP58,989.601,742.831,752.314,1036.18,347.35,302.989,296.261,459.328,1198.37,1177.47,533.302,1310.21,1027.31,143.012,431.658,502.256,621.201,284.086
BMPR2,340.082,251.389,158.984,88.9955,93.8573,78.3302,60.9547,54.7004,239.206,122.292,106.65,78.7296,102.323,90.0719,120.719,86.2041,122.403,86.8534
FAM117B,372.296,299.732,244.771,190.583,271.692,428.68,606.94,630.035,400.877,291.434,335.686,257.628,289.347,237.654,495.634,486.989,520.795,546.128
CARF,108.237,83.7844,83.8442,103.752,88.4934,94.2448,99.5212,136.981,84.8445,90.8689,93.5679,74.249,77.0925,128.29,72.176,58.3838,91.0831,57.2619
