GeneSymbol,proB_CLP_BM,proB_FrA_BM,proB_FrBC_BM,preB_FrC_BM,preB_FrD_BM,B_FrE_BM,B_FrF_BM,B_Fo_Sp,preT_ETP_Th,preT_DN2_Th,preT_DN3A_Th,preT_DN3B_Th,T_DN4_Th,T_DP_Th,T_4SP24._Th,T_8SP24._Th,T_4Nve_Sp,T_8Nve_Sp
UBXN1,422.546,397.599,500.906,511.494,454.501,406.554,378.933,366.846,451.778,468.236,479.572,530.295,528.698,291.223,404.205,431.99,338.384,300.746
1810009A15RIK,80.1301,86.8715,98.4064,101.735,96.2026,90.2496,94.472,93.2116,80.4184,84.1644,84.8948,97.1243,85.6943,69.5299,82.1225,82.925,89.5903,86.1139
INTS5,228.67,236.681,250.054,304.445,225.661,252.321,239.098,201.924,255.273,288.663,317.692,355.838,298.722,234.306,281.458,317.523,259.311,324.224
GANAB,972.801,754.167,974.581,1253.93,906.272,919.815,808.514,958.932,883.424,1053.88,815.044,1009.89,844.644,678.906,1093.75,1110.21,955.404,840.524
B3GAT3,228.653,236.184,241.48,263.236,334.632,336.035,389.457,328.441,188.696,214.898,269.798,197.735,218.544,232.549,255.732,354.565,249.89,333.542
EML3,267.906,211.001,259.147,345.67,304.371,341.072,368.3,342.975,277.837,273,247.83,227.394,218.385,187.083,338.199,456.695,274.851,410.151
MTA2,1079.79,898.858,1532.42,1475.97,1194.74,1177.82,949.166,1019.46,1110.44,1373.51,1536.36,1532.26,1370.75,1040,1094.89,1174.9,1027.16,918.297
TUT1,251.287,195.875,237.948,241.29,205.645,242.459,275.84,326.543,300.011,411.893,460.369,423.764,381.478,191.111,253.718,262.906,335.641,255.486
EEF1G,144.923,134.313,116.855,144.114,75.9776,92.3505,94.4448,98.8396,128.319,152.489,104.838,168.048,130.645,53.1573,113.607,145.982,107.477,93.7408
AHNAK,180.778,250.983,103.051,132.882,114.356,169.906,335.621,274.453,141.426,100.431,98.6427,95.1671,103.874,94.1367,115.202,229.892,146.885,241.572
