"Genes","Curated_pathway","Database_ID","Database_pathway_name"
"CUL4A","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"CUL4B","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"ANAPC2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"FANCL","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"ANAPC4","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"SMURF2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"CDC23","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"CBLB","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"CBL","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"NEDD4","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"TRIM32","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"FZR1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"TRIP12","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2F","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"ANAPC13","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"FBXO2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"HERC4","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"WWP2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2C","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"CDC26","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"HERC3","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"BIRC6","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"ERCC8","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"MID1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"PSMD11","Protein degradation","KEGG:03050","Proteasome"
"PSMD12","Protein degradation","KEGG:03050","Proteasome"
"PSMD13","Protein degradation","KEGG:03050","Proteasome"
"PSMB11","Protein degradation","KEGG:03050","Proteasome"
"PSMA1","Protein degradation","KEGG:03050","Proteasome"
"PSMD4","Protein degradation","KEGG:03050","Proteasome"
"POMP","Protein degradation","KEGG:03050","Proteasome"
"PSMD6","Protein degradation","KEGG:03050","Proteasome"
"PSMD7","Protein degradation","KEGG:03050","Proteasome"
"PSMA5","Protein degradation","KEGG:03050","Proteasome"
"PSMD8","Protein degradation","KEGG:03050","Proteasome"
"PSMA4","Protein degradation","KEGG:03050","Proteasome"
"PSMA3","Protein degradation","KEGG:03050","Proteasome"
"PSMA2","Protein degradation","KEGG:03050","Proteasome"
"PSMF1","Protein degradation","KEGG:03050","Proteasome"
"IFNG","Protein degradation","KEGG:03050","Proteasome"
"PSME4","Protein degradation","KEGG:03050","Proteasome"
"PSME3","Protein degradation","KEGG:03050","Proteasome"
"PSMB10","Protein degradation","KEGG:03050","Proteasome"
"PSMB9","Protein degradation","KEGG:03050","Proteasome"
"PSMD2","Protein degradation","KEGG:03050","Proteasome"
"PSMD3","Protein degradation","KEGG:03050","Proteasome"
"PSMC6","Protein degradation","KEGG:03050","Proteasome"
"PSMD1","Protein degradation","KEGG:03050","Proteasome"
"PSMC4","Protein degradation","KEGG:03050","Proteasome"
"PSMB3","Protein degradation","KEGG:03050","Proteasome"
"PSMC5","Protein degradation","KEGG:03050","Proteasome"
"PSMD14","Protein degradation","KEGG:03050","Proteasome"
"PSMB2","Protein degradation","KEGG:03050","Proteasome"
"PSME1","Protein degradation","KEGG:03050","Proteasome"
"PSMC3","Protein degradation","KEGG:03050","Proteasome"
"PSMB5","Protein degradation","KEGG:03050","Proteasome"
"PSME2","Protein degradation","KEGG:03050","Proteasome"
"PSMB4","Protein degradation","KEGG:03050","Proteasome"
"SHFM1","Protein degradation","KEGG:03050","Proteasome"
"PSMC1","Protein degradation","KEGG:03050","Proteasome"
"PSMB7","Protein degradation","KEGG:03050","Proteasome"
"PSMC2","Protein degradation","KEGG:03050","Proteasome"
"PSMB6","Protein degradation","KEGG:03050","Proteasome"
"PSMB8","Protein degradation","KEGG:03050","Proteasome"
"PSMA6","Protein degradation","KEGG:03050","Proteasome"
"PSMA7","Protein degradation","KEGG:03050","Proteasome"
"PSMB1","Protein degradation","KEGG:03050","Proteasome"
"PSMA8","Protein degradation","KEGG:03050","Proteasome"
"IDH3B","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"DLST","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"PCK2","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"CS","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"PDHB","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"PCK1","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"PDHA1","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"PDHA2","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"SDHD","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"OGDH","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"SDHB","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"IDH3A","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"SDHC","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"IDH2","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"IDH1","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"ACO1","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"ACLY","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"MDH2","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"DLD","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"MDH1","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"DLAT","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"OGDHL","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"SDHA","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"SUCLG1","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"SUCLA2","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"SUCLG2","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"IDH3G","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"ACO2","TCA+OXPHOS","KEGG:00020","Citrate cycle (TCA cycle)"
"ATP6V1G1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"UQCR10","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFA5","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFA4","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"PPA2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP5J2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFS7","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"CYTB","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V0A1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V1G2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V0B","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP5O","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6AP1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX8C","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX5B","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX4I1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V0A4","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP12A","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP5H","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFA2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFA3","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFA1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"UQCRQ","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V1H","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP5D","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"LHPP","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V0D2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX7A2L","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP5G3","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V1C2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP5G2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP5G1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP5F1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP5E","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX5A","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"TCIRG1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP4B","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V1D","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP4A","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP5A1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP5J","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"SDHA","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V1A","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V1E1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFA4L2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V1B2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V1B1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V1C1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V0C","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX10","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX8A","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX7C","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"SDHD","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"SDHB","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"SDHC","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V1G3","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX7B","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX7A1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX7A2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX6C","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX17","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP5B","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX6B1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP5C1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V1F","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX7B2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V0A2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"UQCRB","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V0D1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX6A2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX6A1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"UQCRH","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"UQCRFS1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"UQCRC2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"UQCRC1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFB3","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFB2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFA10","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFAB1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V0E2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ND6","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFA9","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ND5","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFA7","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFA8","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"UQCR11","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFA6","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFV3","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP6V1E2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ND4L","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ND2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX6B2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"PPA1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ND3","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX4I2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ND1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ATP5L","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFA11","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFB10","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFS8","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFC1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFC2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFS1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFV2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFB6","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFS4","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFB7","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFV1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFB8","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFS6","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFB9","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFS5","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFS2","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFB4","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFS3","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"NDUFB5","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"CYC1","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX11","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"COX15","TCA+OXPHOS","KEGG:00190","Oxidative phosphorylation"
"ADORA2A","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"AKT1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"AKT2","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"ALOX12","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"ARL6IP5","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"ATPIF1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"BAD","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"BAK1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"BAX","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"BCL2","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"BCL2L1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"BCO2","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"BID","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"BNIP3","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"BNIP3L","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"BOK","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"CASP1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"CCK","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"CDKN2A","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"CLIC1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"CTNS","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"DCN","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"GCLC","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"GCLM","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"GSK3B","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"HEBP2","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"HSH2D","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"HTT","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"KDR","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"LRRK2","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"MAPT","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"MGEA5","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"MLLT11","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"MTCH2","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"MUL1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"MYC","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"MYOC","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"NDUFC2","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"NDUFS1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"NGFR","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"OPRD1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"P2RX7","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"PANK2","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"PARK2","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"PARK7","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"PARP1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"PID1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"PINK1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"PMAIP1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"PPA2","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"PPP2R3C","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"PRDX3","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"PRELID1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"PRKCE","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"PYCR1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"RACK1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"SLC25A27","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"SLC25A33","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"SLC25A36","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"SOD1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"SOD2","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"SPG20","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"SRC","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"STOML2","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"STOX1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"TCL1","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"TMEM135","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"TSPO","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"TUSC2","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"UBB","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"UCP2","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"VCP","Mitochondrial membrane potential","GO:0051881","Regulation of mitochondrial membrane potential"
"1110008L16RIK","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"2810006K23RIK","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ABAT","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ACAA2","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ACADL","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ACADM","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ACADS","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ACADVL","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ACAT1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ACSM1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ACSM2","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ACSM3","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ACSM4","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ACSM5","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ACSS1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"AGXT","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"AK3","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"AK4","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"AK157302","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"AKAP1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ALAS1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ALAS2","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ALKBH7","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ATAD3A","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ATP5B","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ATXN3","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"BCKDHA","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"BCKDHB","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"BCKDK","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"BLOC1S1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"BRCA1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"C1QBP","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"CAPN10","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"CASQ1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"CBR4","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"CCAR2","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"CCNB1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"CDK1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"CHCHD1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"CLPP","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"CLPX","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"COASY","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"COQ5","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"CPS1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"CREB1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"CS","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"DAP3","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"DBT","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"DDX28","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"DGLUCY","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"DHX30","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"DIMT1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"DLAT","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"DMGDH","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"DNA2","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"DNAJA3","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"DTYMK","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"DUSP21","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ELAC2","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ERAL1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ETFA","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ETFB","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ETFBKMT","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"ETFDH","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"FASTKD2","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"FASTKD5","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"FDPS","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"GADD45GIP1","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
"GLRX2","Mitochondrial proteins","GO:0005759","Mitochondrial matrix"
